site_id,local_site_name,site_address,state,county,city,pollutant_id,parameter_name,units_of_measure,method,date,sample_duration,observation_count,arithmetic_mean,aqi
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210730,24 HOUR,1,12.1,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210703,24 HOUR,1,12.3,57.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210709,24 HOUR,1,13.9,60.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210715,24 HOUR,1,9.2,51.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210721,24 HOUR,1,14.9,62.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210721,24 HOUR,1,14.9,62.0
0002,Azusa,"803 N. LOREN AVE., AZUSA",California,Los Angeles,Azusa,88101,PM2.5 - Local Conditions,Micrograms/cubic meter (LC),R & P Model 2000 PM-2.5 Air Sampler w/VSCC - Gravimetric,20210721,24 HOUR,1,14.9,62.0
